分類,項目,内容,参照,実装ブランチ,備考
対応済み,--scan-selftest が 0 group のとき報告せず永久に止まる,scan が何も返さないと来ない picker を待ち続ける。UI 側は nav.cpp:254 で toast を出して正しく抜けるのでテスト入口だけの欠陥だが、fixture が npy を失ったらスイートは FAIL せずハングする,issue #148 副産物 / core/browse/nav.cpp:254,openfolder-formats,【2026-08-10 実測】.npy の木は --no-window で約1秒で exit 0、同じ木を .png にすると 40秒経っても何も出力せず終了しない  /  【2026-08-10 PR #152 で同時解消】
対応済み,linunit が両方向とも壊れた往復,writePrefsTo は prefs.txt に書くが loadPrefs に読む分岐が無く、loadSession は読むが writeSessionTo が書かない。単位を変えて再起動すると lx に戻る,PR #149 の棚卸しで発見 / docs/settings-inventory.md,prefs-linunit,【2026-08-10】設定の数え直しで「書き25/読み25 だが集合が違う」ことから出てきた1件  /  【実装 2026-08-10 PR #153】持ち主は推測せず state.h の宣言箇所のコメントが明言していた —— NOT the unit of any measurement、prefill、prefs キー linunit。よって prefs.txt が持ち主で、loader 分岐を prefs 側に足し session 側の分岐は削除(writeSessionTo は一度も書いたことがないので現存セッションに無く、あればドキュメントがアプリ設定を書き換えることになる)。テストは事例でなく種類を押さえる(N12): 2方向は対称でない —— 読むが書かない=移行(rbadv は読んで捨てる、readerdir は最初の reader place、どちらも意図的)、書くが読まない=黙って元に戻る設定で良性の形が無い。よって後者だけを文書全体の水準で assert し、writer が吐いた同じテキストを loader に読ませて未認識キーを数え名指す。反空虚は viewer-prefs で始まり15行以上(常に書く17キーの下、事故の上)。赤: prefs keys written but not read: linunit
対応済み,Blink (CmpFlip) だけ起動時に要求できない,--compare が受けるのは off|wipe|split|diff のみで、4番目の比較モードだけ CLI から始められない,PR #149 の棚卸しで発見 / core/app/cli.inc:723,compare-blink,【実装 2026-08-10 PR #154】if 連鎖に5本目を足す形にはしなかった —— それが隙間を作った形そのもの(パーサ・拒否文・--help の3リストを誰も突き合わせていない)。3つとも1つのテーブルを読む形にし、正準名はモードの最初の項・以降は別名なので拒否文は各モードを1回だけ名乗れる。V28 は綴りでなく enum を見る: App::Cmp* が取り得る全値にパーサが受ける名前があること。enum は C++ で歩けないので範囲は定数だが、その定数が嘘になるのを止める assert を別に置いた(sizeof MODES == CmpFlip+1 かつ MODES[CmpFlip]==CmpFlip)—— 無いと1つ手前で止まったリストが「5つ中4つ検査」で通り、まさに今回のバグの形になる。blink と flip の両方を受ける(メニューで Blink を読んだ人が enum 名を知っている必要はない)。赤: V28 compare mode(s) with no name: 4 で3本 FAIL、反空虚 assert は赤でも PASS(修正でなくリストを守っているので正しい)
対応済み,Browse の並べ替えは永続する —— 棚卸しの指摘が誤り(記録のみ、修正なし),同じパネルの rbFlat/rbTree/rbNatural は永続するのに、並べ替えの列と向きはどこにも保存されない,PR #149 の棚卸しで発見,,【2026-08-10 実測により棚卸しの指摘を訂正】直す前に確かめたところ、並べ替えは永続していた。根拠: (1) ImGuiTableFlags_Sortable はアプリ全体で1箇所(core/browse/panel.cpp:1699 の rblist)しかない、(2) それでも layout.ini には Sort= を持つ [Table] 節が4つあり、うち1つは Column 3 に Sort=0^ = mtime 昇順という既定でない並び。唯一の sortable table の既定でない並びが書き残されている以上、永続している。うち2節は列幅 113/…/152 を共有していて Browse インスタンス2つと整合。真なのは「prefs.txt には無い」の方で、兄弟トグル(rbFlat/rbTree/rbNatural)と保存先が違う —— これは欠陥ではなく置き場所の話なので #50 の設定分割(§9-3)の材料に回す。この行は「直してはいけない」ことの記録として残す
残課題,「all stacks below」の深さが入口で違う(ローカル scan は depth 3、peer は depth 6),"scanFolderGroups は depth 3 を歩き、peer には scan(dir,6,256) を訊いている。ローカルの Open Folder を local scan に寄せた結果、3階層より深い木は今日からドロップと同じ範囲になった(=この入口だけ狭くなった)。どの深さが正しいかはローカル scan 全体への問いなので、この入口だけ再び食い違わせる形では答えなかった",PR #152 の副産物 / core/app/sequence.inc scanFolderGroups (depth<3) / core/browse/nav.cpp:99 scan(job.dir 6 256),,
対応済み,ディスク上の同じファイルが local:// 経由と直接 open で別 identity になる,srcKeyPath は :// を含む文字列を素通しする(weakly_canonical も Windows の case fold も掛からない)一方、openRemote は S.path に url を入れる。実測: c:\...\dark_001.png と local://tools/testdata/openfolder\dark_001.png、mtime/fsize は同じ。§6.2 では別の住人になり、session が書く名前も入口で変わる。#148 の修正でメニュー経由はドロップと一致したので、残るのは Browse 行のダブルクリック(local://)との差,PR #152 の副産物 / core/app/state.h:229 srcKeyPath / core/app/open_dispatch.inc:1106 S.path = url,local-identity,"--scan-selftest が両形を毎回出力するので再現は1コマンド  /  【実装 2026-08-11 PR #165 d48f67f】素通しの理由は残した —— weakly_canonical は「この機械のファイルシステムへの問い」で、ssh://host/path に掛けるとこの機械の symlink・CWD・case 規則で答えてしまう。local:// は peer ではなく url がディスク上のパスを内包しているので、もとからその理由の対象外だった。localDiskPathOfUrl(remote::parseUrl の逆、空 host = この機械)で解決し、名前のある host は逐語のまま。証明は文字列一致ではなく refcount: 2 source(s) 32768B → 1 source(s) 16384B、扉の順を入れ替えた S5f も置いたので片側だけの修正は S5d を通って S5f で死ぬ。セッションは形式不変・移行なし —— 鍵は計算されるもので保存されておらず、既に local:// 綴りで書かれた行こそ2つの identity が残る場所なので writer を直しても救えない(S4d は相対綴り = 古いセッションが実際に持つ文字列で twin を作る)。第2の実例を自分で発見: パスだけ直すと frame 0 しか揃わず複数フレーム .npy は 1..N-1 が割れる(fileFrame/remoteFrame の2枠は「2つの異なるファイルのフレームを数える」ためで、local:// がリモート枠に入るのは peer プロセスが読んだという手続き上の理由でしかない)—— (frame,0) に畳んだ。赤6 FAIL → 緑、suite 49/49"
残課題,出荷済みの判断を支える測定装置が、未マージのブランチにしか無い,media-format-strategy の tools/bench_media/(oiio と raw のベンチ、約1.8k行)と plugin-python-study の tools/pyplugin-bench/(常駐ワーカ+共有メモリの計測、約1.8k行)は main に無い。前者は「ベンダ RAW は EXR より安く PNG より正直」という既に出荷した判断の測定装置で、後者は #45 の証拠。結論の文書(docs/media-support.md 180行 / docs/video-support.md 496行)は main にあるので理由は失われていないが、装置が無いので再測定ができない,origin/media-format-strategy / origin/plugin-python-study,,"【2026-08-10 棚卸し】未マージのリモートブランチ6本を全数確認した結果。内訳: preview-fixes は本人が「WIP parked, DO NOT MERGE」と書いた駐車、docs-split-draft は #55(Fable レビュー待ち)、plugin-python-study は #45(同)、media-video と media-openexr は分割前の core/main.cpp を触っているので今の main とは接ぎ木不能だが、機能(y4m / EXR)も文書も別経路で main に着地済みなので死んでいる。生きているのは上の tools/ 2本だけ。main に入れるか(約3.6k行の計測コード)は判断事項"
対応済み,項目20 Watch §6 membership 再構築付き Reload,今の [Reload] は既出荷の reloadStackFromDisk を呼ぶだけで、メンバーシップは変わらない(tooltip がそう明言し、増減したファイルはフォルダを開き直す必要があると言う)。§6 は seqId と SeqInfo を保ったままメンバーシップ列を作り直す設計,docs/watch-design.md / PR #156 で未着手と明記,watch-reload,【実装 2026-08-11 PR #160 9ef785f】[Reload] が reloadSource の walk + メンバー列の再構築を通る(seqId/SeqInfo は保つ)。消えたファイルは read の前に membership から外れる —— これが #56 との境界で、「消えた」は refusal ではないので (reload failed) を立てない(残った frame は1つの瞬間のまま)。現れたファイルは sortFramesNumerically の位置に入る。規則を再適用してよいのは「mint 時にフォルダの sibling group そのものだった stack」だけ —— Reload 時には「1枚増えた group」と「部分集合」が listing から区別できないので、SeqInfo::ruleDir/ruleHead を startSequenceLoad で規則を実際に走らせて記録する(フラグを6つの呼び出し側に配ると、1箇所間違えた症状が「ユーザが外した frame が黙って戻る」になる)。規則は足す側にしか使わない —— siblingNamesAmong は最後に変化する数字フィールドを frame 軸に選ぶので、ファイルが1枚増えると選択が動き、ディスク上に在るメンバーを規則が名指さなくなる。そのまま membership にすると命名ヒューリスティクスの都合で測定から frame が消える。名指されたが読めないものは failed でなく n/N(Files 行が 4/5f)。継ぎ目は watch::planRebuild/rebuildText(純関数、順序比較子は rp::naturalLess を渡すので stack の frame 順の定義が1つ)と invalidateStackDerived の1本化。pin は uid なので番号が動いても生き残り、消えた frame の pin は closeImages/resolveB で落ちる(番号を継いだ別の frame に繰り上げない = 黙って別の絵と比較しない)。空にする再構築はしない。σ_t を3通り手で導出、とくに同サイズ入れ替え後の sqrt(4533502.5)=2129.2023 が frame 数5のままで、stackRev が鍵を運んでいて frame 数ではないことの証明。赤15 FAIL → 緑、suite 48/48。設計訂正4件を watch-design.md §12 に記録。既存2本(R14b/R25)はどちらもファイルを消して refusal を作っていたので理由つきで作り直し
対応済み,項目20 Watch のリモート LIST 監視,§1 のリモート半分。peer が既に返す LIST のグループ行1つ(合計bytes・最新mtime・名前集合)で stack 1本の変化判定ができるので新プロトコルは不要、という設計まで確定済み,docs/watch-design.md / PR #156 で未着手と明記,watch-remote,"【実装 2026-08-11 PR #161 8f76345】設計の前提を建てる前に assert して確認(R1: 5ファイルが1行に畳まれ bytes=5x192=960、メンバーは平の行として現れない)。新プロトコルなし、LIST のグループ行1発で stack 1本を判定、(host,port,dir) で重複排除、間隔はローカル 5s との比で計算(数字を2つ置くと片方を動かしたとき黙ってローカル間隔で peer を叩く)。PR #159 で動いていた点を自分で発見: isServedSuffix でグループ化するので監視対象は .npy に限らない(PNG フォルダも同じ形、拡張子はグループ鍵に乗るので混ざらない)。per member は方針でなく読み方が決める —— ローカルは per-file stat なので member=ファイル、集約行は member=stack で、groupObs が全メンバーに同じ (mtime,size) を配るのは手抜きでなく証拠の形そのもの。判定は「リモートかどうか」でなく行ごと: 平の行は自分の (mtime,size) を持つのでローカルと同じ文で名前を言う(正確な読みをリモートだからと曖昧にするのは逆方向の不正直)。文言は changed のカウントを出さない —— N を入れれば行が主張していないことを主張し、1 を入れればファイルを1枚でっち上げる。appeared/vanished は名前列から取れる per-member の事実なので名前を言う。peer 名は先頭の句に1回だけ(句ごとだと3台の機械の話に読める)。沈黙側へ倒す箇所3つ: 返事の無い LIST は周を飛ばす(リンク断 != キャプチャ削除)、peer group の部分集合は監視対象外、空の読みは全体の問いを settle しない。local:// はローカル扱い(ブラウザ経由で開いただけで精度を落とさない)。ワーカーは自分の Session を持ち、監視対象が無くなった周でリンクを閉じる。赤31 FAIL → 緑52/52、suite 49/49。設計訂正6件を watch-design.md §13 に記録"
対応済み,項目20 Watch の Browse 側ポーリング,§2/§5。見えている Browse インスタンスの現在 dir をポーリングして listing をそのまま新しくする(通知ではない)。「Watch: open new stacks」トグル(既定OFF)で新しく現れたグループを rbOpenQueue 経由で開く,docs/watch-design.md / PR #156 で未着手と明記,watch-browse,【実装 2026-08-11 PR #162 3461859】新しいコントロールは足していない(トグルは別行に分離)。描かれている間だけ回す —— 印は drawPanelRemote の頭の App::uiFrame で、閉じ/折りたたみ/非選択タブは ImGui::Begin が false を返して panel 自体が呼ばれないので止まる。時刻ではなくフレーム番号なのは、アイドル 0 fps ではタイムスタンプが腐り、まさに「撮影しながら眺める」= 誰も触っていない状態で機能が止まるから。既定レイアウトでは Browse が Files の非選択タブなので1周も回らないことを実測(40秒で drawnFrame=1、uiFrame=179)。溜めない(busy/飛行中/nav がキューに居るのいずれでも飛ばす)。画面と同じ listing は丸ごと捨てる(rev を上げず recents も prefs も触らない)。間隔は #161 と同じく比で計算した結果 3s と ceil(10/3)=4周=12s(設計の 10 ではない)。赤を2回撮っている: 1回目の素朴実装では B4(カーソル保存)だけが通ってしまうので、#155 を意図的に戻して2回目の赤 cursor -1 / ticks [] を撮った —— この機能が #155 に全面依存することが測定になった(#155 が無ければ数秒ごとにカーソルとチェックを消す機能として出荷されるところだった)。アイドル実測は同一シーン60秒で main 0.513s 対 branch 0.451s、同一バイナリの回ごとの幅 0.219-0.781 の方が大きくノイズ以下。ただしパネルが描かれている間は厳密な 0 fps ではなくなる(積む行為が UI スレッドのもの)と §14.2 に正直に記録。LIST は stack 監視と共有不可(ローカルはそもそも別の呼び出し、リモートは one Session one owning thread に反する)、代価は描かれているインスタンス1つにつき1本で stack ごとではない。CI の Windows 1回落ちは同一コミットで次の回に通ることを確認のうえ assert 自身のレース(rbEnqueue がワーカーを起こすのでキューが既に空になり得る)と特定して修正。設計訂正4件を watch-design.md §14 に追記
対応済み,項目20 Watch の Auto-reload,§9。既定は通知→手動 Reload のままで、自動更新はオプトイン,docs/watch-design.md / PR #156 で未着手と明記,watch-auto,【実装 2026-08-11 PR #163 df69f64】既定 OFF のオプトイン1つ(File > Watch の下、prefs watchauto)。走るのは [Reload] と同じ reloadStackFromDisk —— 自動用の2本目を書けば §12/§13 のガード(空にしない/返事なしは全部消えたではない/読めないものは n/N/規則は足す側にしか使わない)がもう1組でき、間違っている方は常に誰も見ていない方になる。実行は「言った次のフレーム」で、規則は pumpWatch が watchAutoDrain → watchIntegrate を呼ぶ順序そのもの。arm はキューではなく状態(watchFound.any())—— キューだとスイッチ ON の瞬間に既に琥珀の stack が永久に対象外になる。進行中の仕事は待つ(キャンセルも並走もしない): server σ_t の A/B・frame average 待ち・ローダ・mPending・rfPending・annBusy。待って安全な理由は6つ全部がメインループの busy の項で、その仕事を終わらせるフレームが必ず来るから。compare pin は待つ対象に入れない(uid なので番号が動いても生き残り、比較の読みは毎フレーム再計算なので縫い目になる蓄積値が無い)が、pin の frame が消えたときは専用句で言う。refuse したら #56 の reloadFailed ラッチでその stack の自動を解除 —— 無いと refuse → 発見が消える → ワーカーが同じ差分を再報告 → また refuse が5秒ごとに永久。リモートは watchReloadOffered で拒否(パネルの greyed 行と同じ1判定)。証拠は手動より多い: 期限なしの autoReloadNote(時刻+要約そのまま)/ Messages / n of N / #56 マーク、加えて実行前の「reloading automatically」。赤17 FAIL に加えて反空虚の赤2本(スイッチ強制 ON / ガード除去)、その過程で W39 の arm assert が drain の後にあって空虚だったのを発見して前に移した。§11.5 の 15.6ms 粒度を W44f で実際に踏み、書き込みごとに過去の別時刻を与えて回避。suite 49/49。設計訂正6件を watch-design.md §15 に記録
対応済み,互換ビルド step が引用符で半分に切られていた(緑で出荷され得た),PR #159 が足したコメントのアポストロフィ4個(the peer's PNG readers ほか)が、bash -ec に単一引用で渡していたスクリプトを最初の1個で閉じていた。閉じた後の残り —— viewer-serve をリンクする g++ を含む —— は**コンテナではなくランナー上で走っていた**。今回は /tmp/miniz.o が無くて落ちたが、ランナーの /tmp にそれがあれば job は緑になり、「互換」と名乗るランナー glibc リンクの peer が tarball に入った。bash -ec の -e は最初からあり両半分とも止まっていた —— 引用で切られた故障はシェルのオプションでは見えない,PR #159 203882b / .github/workflows/build.yml,,【修正済 2026-08-10】heredoc(<<COMPAT)で stdin から渡す形に変更、set -euo pipefail を明示、GLIBC ceiling を印字でなく assert(上がったら exit 1)。docker shim で 21 引数を受け取っていることまで再現して特定されている。記録として残す —— 同型(引用の中にコメントを書く)は他の workflow step にもあり得る
残課題,compat peer の glibc ceiling は 2.29 で、RHEL 8 / Rocky 8 では起動しない,コンテナの libm が exp/log/pow で GLIBC_2.29 を要求する。RHEL 8 は glibc 2.28。これは今回の作業以前から真で、「RHEL 8 から上をカバーする」と書いたコメントが書かれた日から間違っていた。対応には libm の旧 symbol version への固定が要る,PR #159 / .github/workflows/build.yml の compat step,,【2026-08-10】#159 で assert と文言(RHEL 9 / Debian 11 / Ubuntu 20.04 以上)は正した。実際に 2.28 を支えるかは別作業
残課題,frame 軸1ファイル stack の枚数変化は membership 再構築の対象外,1つの .npy に F 枚入っている stack で F が変わった場合。PR #160 の再構築はフォルダのメンバー列を対象にしており、この形は範囲外,PR #160 / docs/watch-design.md §12,,【2026-08-11】PR #160 が自己申告している残り
対応済み,項目20 §6 の Reload をリモート origin に届かせる,今のリモート Watch 行は [Reload] を出さず「Browse から開き直す」と言う。§6 の membership 再構築はローカル専用で、reloadUnavailable が peer 背景のソースを拒否するため —— ボタンを出すと全メンバーが refuse し、何も失敗していない stack に #56 の (reload failed) が latch する,PR #161 / docs/watch-design.md §13.6,watch-remote-reload,【実装 2026-08-11 PR #164 6d44813】拒否の理由を先に確認 —— reloadSource は stat+ローカル read しか持っておらず、拒否は正しく、足りないのは判断でなく peer 側の同じ2手だった。bypass でなく door を1つ足す(META=stat / TILE=read、remoteFrame・npyRead・remoteStep は再選択せず再生 —— どれか1つでも決め直すと「同じ frame の新しい値」でなく「黙って別の frame」になる)。reloadUnavailable の行はそれで消える(そこは reloadSource の事実を述べる場所)。述語は peer が答えるかを聞かない —— 毎フレーム灰色にする述語なので聞けば再描画ごとに往復1回、しかもクリックが届く頃には古い。到達できない peer は「失敗する Reload」であってボタンの不在ではない。グループ行の名前列は planRebuild に足りる、条件2つ: listed は dir でない全行(1枚に減ったフォルダは平の行なので、グループ行だけだと最後の1枚を vanished と言う)、want は mint で1回記録した規則。residency は membership ではない(予算で 4/300 常駐の stack を have から作り直すと 296枚が黙って消える)。自動はリンクを越えない —— 理由は再構築の可否でなく行為の代価(メンバーごとの往復・落ちうるリンク・読み切るまで再描画しない)で、watchAutoBusy が待てる種類の待ちではない。赤23 FAIL → 緑80 PASS。空虚に通る assert 4本を対で潰し、R13/R16 自体がフレーム0本の stack で空虚だったのを発見して載せ替え。副作用: local:// の stack も規則を持つようになった(§12.2 の列挙に無い穴)。レビューで私が「この PR が browse-keys を壊す」と差し戻したのは誤診 —— 原因は tools/testdata/rb に残った bwatch-scratch 1行で、残したのは私自身の中断した実行だった(testdata は gitignore なので git reset では消えない)。33 entries 44.9秒緑 / 34 entries 300.8秒 28FAIL と較正して同定。fixture はテスト専用 TMP へ移し、--browse-selftest が共有 fixture の entry 数を先頭と末尾で突き合わせるようにした。指摘の中身「LIST は全 open に掛かる」は当たっていて実装の穴でもあった: 記録は peer の LIST、再適用はローカル listing + siblingNamesAmong で別実装だった —— planStackMembership と同じ分岐に揃え、R22/R22b が往復の不在を assert。設計訂正を watch-design.md §16 に記録
対応済み,main.cpp が MSVC の COFF セクション上限に当たった —— 分割するかを測って「しない」と決めた,"core/main.cpp 自身は 3,045 行だが、core/selftest/*.inc が 24,066 行あり全部 #include されている。2026-08-11 に error C1128 (number of sections exceeded object file format limit) で Windows CI が落ち、/bigobj で通した。分割(41,014→2,752行)は selftest を対象にしていなかったので、次に詰まるのはここ",PR #161 の CI / .github/workflows/build.yml の MSVC 分岐,selftest-tu,"【2026-08-11】/bigobj は対症。selftest を独立 TU にするか、テストごとに分けるかは設計判断  /  【測定して (a) 決定 2026-08-11 PR #168 3f09832、コード変更ゼロ】応急処置の /bigobj を恒久措置として確定。selftest 41断片のうち移動可能な39を外すと 8,007 → 5,227 セクションで寄与 34.7% —— 半減ではなく、残り 65.3% は背骨(app/*.inc 23,062行 + ui/*.inc 12,764行)。伸びは1日 +1,070 セクションなので (b) が買う 2,780 は3日未満で消える(MSVC 換算 8.6倍でも 2.6日)。値段は de-static 369個で、split-plan §1 が数週間と見積もった P 段階そのもの。3日のために数週間は払わない。(b) の安い版が一番危険: 背骨の .inc を再インクルードする2つ目の .cpp は 369個の static のコピーを各 TU に作るので、テストがパネルの読む g_ とは別の g_ に assert することになり、黙って失敗する —— §10.6 に記録。測定は MinGW に MSVC が無いので -ffunction-sections -fdata-sections を代理に使い、その旗が無いと4倍過小評価になること(gcc は COMDAT しか割らないが MSVC は関数ごとに .text$mn + .pdata/.xdata を切る)まで明記、換算比 8.6倍は C1128 が出たコミットの代理値 7,617 から実測。シンボル数はプローブ TU + -fsyntax-only -fmax-errors=0 でコンパイラに数えさせた460個(41断片すべてがエラーを出し早期終了していないので集合が完全)。副産物: split-plan §4 の「断片は main() のローカルも見る」は誤りで41中40が見ていない(io は各断片自身の GetIO、uiScale は app.uiScale、win はコメント中の英単語)—— 判断2 は生き残るが述べられていた理由が違った。動かせないのは browse-keys.inc(フレームループが使う識別子を宣言している)と util.inc の2つだけ。次に当たるのはセクションではない(/bigobj の天井は 2^32)—— コンパイル時間で、2日で 64→96秒、しかもそのときの請求書は背骨の 65.3%"
残課題,項目20 Watch の「Watch: open new stacks」,§5 の3つ目。インスタンスのトグル(既定 OFF)で、監視 dir に新しく現れたグループを rbOpenQueue 経由で開く。撮影しながら見る、の答え,docs/watch-design.md §5 / §14.5,,【2026-08-11】PR #162 で意図的に外した —— Browse パネルの表面にコントロールを足す変更で、#47 の Browse トップレベル設計が Fable に渡っている間は Browse を不具合修正以外で触らないと決めたため。機構(ポーリング)は #162 で着地済みなので、設計が戻り次第その上に載せられる
残課題,selftest のホームは全テスト共有なので、prefs を書くテストが以降の全テストを変える,VIEWER_TEST_HOME は ${CMAKE_BINARY_DIR}/selftest-home の1つで、per-test なのは TMP/TEMP/TMPDIR だけ。prefs を触って正常終了したテストは savePrefs でその共有ファイルを書き換え、値は以降のテストにも、そして次の実行にも残る(誰かが気づいてファイルを消すまで),CMakeLists.txt:877 VIEWER_TEST_HOME / :941 の _env,,【2026-08-11 実例】browse-keys の隔離のため app.watchEnabled=false と書いたところ、それが prefs キー watchfiles だったため共有 prefs.txt に watchfiles 0 が焼き込まれ、以降 selftest.browse の B 群が 3.1秒 PASS から 183秒 FAIL に変わって固定された。症状は「ポーリングが1度も発行されない」で、prefs を指すものは何も出ない。ファイルを消すと復旧。修正は watchPaused(永続しない atomic)に変更。一般の危険は今回の変更より古く、ここでは直していない —— テストごとにホームを分けるか、テストの終了で prefs を書かせないかの設計判断
残課題,テストが共有 fixture の中に自分の fixture を作ると、次のテストが位置でずれる,--browse-selftest が tools/testdata/rb のサブディレクトリに fixture を作っていた。サブディレクトリは rb の行なので、掃除に到達しない走りが1つあると rb が33行から34行になる。browse-keys は位置で操作する(home のあと down を8回)ので、1行ずれた瞬間に以降が全部落ち、待ちが300秒の上限まで伸びる。CI は毎回まっさらなチェックアウトなので一度も見ない,PR #164 §16.6b / core/selftest/browse.inc,,"【2026-08-11 修正済】fixture はテスト専用 TMP へ移した(CMake が毎テストに TMP/TEMP/TMPDIR を与えている理由)。加えて --browse-selftest が共有 fixture の entry 数を先頭と末尾で突き合わせ、次のテストが歩くフォルダに行を漏らしたテストが自分でそう言う(較正済み: 33 before, 34 after: FAIL)。残骸は testdata が gitignore なので git reset でも gen_testdata.py でも消えない —— 一般則として、コードを戻してもディスクの状態は戻らない"
残課題,共有された source の provenance は「最初に開いた扉」のものになる,ローカルの扉で開いた doc が、別の扉が先に登録していればセッションに local:// と書かれる(逆も同じ)。画素も identity も同じだが、Reload はその扉を通る,PR #165 の副産物 / docs/reference-design.md §6.2,,
残課題,"rfind(""local://"",0) の bool 形が3箇所に残る",reloadUnavailable / planStackMembership / session.inc。localDiskPathOfUrl に寄せられるが、空パス url など端の等価性を1つずつ確認する必要がある,PR #165 の副産物,,
対応済み,間引かれた preview がそのまま export される (G4),周りの8箇所は「previews lie」と書いて断っているのに、export.inc:77 の1箇所だけが通す。測っていない数を測った数として出す,docs/verify-matrix.md G4 / core/app/export.inc:77,export-preview,【2026-08-11 PR #169 の検証項目表が発見】299セル(形式13 × 戸9 / × 操作7 を2枚)のうち落穂23セル・原因11件。80セルは selftest が直接証明済み  /  【修正 2026-08-11 PR #170】exportRefusalFor(peerRefusalFor / reloadUnavailable と同じ述語1本)で、メニュー・クリップボード・ファイルが許可について食い違えない。remoteStep>1 は state.h:130 が「still the preview」と定義済みで、解析経路4箇所が既に previews lie として拒否していた —— export だけが規約の外にいた。しかも export は最も具体的な主張をする面(「dot by dot」= 1出力画素/1元画素、step 4 では16倍の嘘)。PNG の方が重い: ファイルは修飾する文より長生きし、中に preview だったと書く場所が無い。拒否は最終でなく「まだ」(full-res は自分で着地する)。呼び手の文言も直した —— 従来の「nothing to copy/save」は二重に誤りで、在るのに無いと言い、出せない理由も違った。赤 step4 exported=1 → 緑 exported=0、反空虚(step1 では出る)は赤でも PASS
対応済み,.npz のフォルダが RAW ダイアログに送られ、zip が画素として読まれる (G3),真上のコメントが、破られている規則そのものを書いている,docs/verify-matrix.md G3 / core/app/sequence.inc:1454,npz-not-raw,【2026-08-11 PR #169 の検証項目表が発見】299セル(形式13 × 戸9 / × 操作7 を2枚)のうち落穂23セル・原因11件。80セルは selftest が直接証明済み  /  【修正 2026-08-11 PR #171】規則は isRaw のところに既に書かれていた(自分の形を持つ形式を幾何プロンプトへ送らない)が、検査は「.npy でなく画像表にも無い」という否定の列挙で、.npz が抜けていた。.npz は各配列が自分の形を述べるコンテナで、どの画像表にも無い。肯定の列挙(ヘッダレスの5拡張子)に替えた —— 否定の列挙は完全でなければ正しくないのに完全にする仕組みが無く、肯定なら明日足される形式は既定で自己記述になり忘れられて落ちてこない。検証項目表が見つけた共通の根(表に行を持たない形式はどの不変条件の中にもいない)と同じ形。UC8 は対で assert(.npz が false だけなら isRaw を一度も立てない実装でも通るので、隣の .raw は true のまま)。赤 .npz isRaw=1 → 緑 isRaw=0
対応済み,.raw と .vsession が「このマシンの」Browse でも淡色になり、偽の理由を言う (G2),File▸Open は同じファイルを開くので、拒否の理由が事実と違う,docs/verify-matrix.md G2 / core/ui/menus.inc:668 / core/browse/panel.cpp:118,viewer-reads-own-doors,【2026-08-11 PR #169 の検証項目表が発見】299セル(形式13 × 戸9 / × 操作7 を2枚)のうち落穂23セル・原因11件。80セルは selftest が直接証明済み  /  【修正 2026-08-11 PR #174】viewerReadsName が main.cpp 自身の扉を「.npy と .npz」で止めていた。ヘッダレスの5つも自身の扉(ユーザが幾何を述べるダイアログへ行く別の扉)で、.vsession は第3の種類。だからこのマシンの Browse 行が、File▸Open が何事もなく開くファイルに対して淡色になり、隣の拒否文が理由でない理由を名乗っていた。関数の上のコメントは既に形を知っていた(「.npy と .npz は表の行ではなかった」)—— 表の外の一覧が単に不完全で、PR #171 の .npz と同じ defect(完全でなければ正しくないのに完全にする仕組みが無い一覧)。本体は F4b: F4 は表の全行を不変条件として歩いており、だからこそ行を持たない形式を見なかった。F4b は同じ問いに答える2述語の等式(Open Folder の isLoadableExt と Browse の viewerReadsName)を据えるので、明日 SEQ_EXTS に足された拡張子は誰もテストを編集せずに検査される —— 検証項目表が G1/G2/G3/G8 の共通の根として名指ししたもの。赤 disagrees on [.bin .raw .yuv .dat .rggb] → 緑 [-]。反空虚は probe が isLoadableExt の受ける拡張子を7つ以上含むこと。拒否文にも同じ5つを足した
残課題,形式表に行を持たない形式は、どの不変条件の中にもいない (G1-G3-G8 の共通の根),viewerReadsName / peerServesName はどちらも「表に行があるか」で答える。行を持たない形式(SEQ_EXTS の7つ + .vsession)は fmtgate F4 の不変条件の外にいる —— F4 は表の全行を見るが表の外を見ない,docs/verify-matrix.md §共通の原因 / core/selftest/fmtgate.inc F4,,【2026-08-11 PR #169 の検証項目表が発見】299セル(形式13 × 戸9 / × 操作7 を2枚)のうち落穂23セル・原因11件。80セルは selftest が直接証明済み
残課題,remote のファイル内フレーム軸が session 復元でフレーム0に戻る (G5),session.inc:192 が書く形と :2451 が読む形が食い違う,docs/verify-matrix.md G5,,【2026-08-11 PR #169 の検証項目表が発見】299セル(形式13 × 戸9 / × 操作7 を2枚)のうち落穂23セル・原因11件。80セルは selftest が直接証明済み
残課題,reader で開いた doc の復元が prefs.txt の memo 頼みで、無いと別の doc に当たって黙る (G6),,docs/verify-matrix.md G6 / core/app/session.inc:2628-2637,,【2026-08-11 PR #169 の検証項目表が発見】299セル(形式13 × 戸9 / × 操作7 を2枚)のうち落穂23セル・原因11件。80セルは selftest が直接証明済み
残課題,.mp4 が peer 一覧では測定に基づく理由と ffmpeg の逃げ道を失う (G7),,docs/verify-matrix.md G7 / core/browse/panel.cpp:121,,【2026-08-11 PR #169 の検証項目表が発見】299セル(形式13 × 戸9 / × 操作7 を2枚)のうち落穂23セル・原因11件。80セルは selftest が直接証明済み
